aid,series_type,test_subject,video_type,test_brand,title,bili_typeid,duration,publish_time
43601898,正片,,摄影,富士,腹肌南波湾？才怪_FUJIFILM XF10【值不值得买第311期】,190,16:13,1550196008
43260419,正片,机器人,玩具,Vector,有感情的机器人_Vector【值不值得买第310期】,191,17:35,1549936859
42256532,正片,后视镜,汽车,小米,普通汽车玩智能_米家智能后视镜【值不值得买第309期】,191,16:28,1549591242
42233178,BBT,,装机,,一招变快老电脑【BB Time第173期】,189,11:28,1549418414
42196835,其它,,回顾,,TESTV 2018年度大回顾,191,22:02,1549332039
42062094,BBT,饮水机,日常,,省水大改造【BB Time第172期】,21,16:56,1548813618
42031606,正片,方向盘,游戏,图马斯特,老司机带带我_图马斯特T300法拉利版方向盘【值不值得买第308期】,191,10:01,1548986400
41982410,正片,耳机,影音,海威特|索爱|疯米|魔浪|Sanag|漫步者|京造|山水|魔宴|兴戈|小哞|艾比奥|ERL|QCY|派美特,平价真无线耳机们到底好用不好用【值不值得买第307期】,191,13:23,1548727204
41761079,其它,,录播,,20190125直播录播,21,211:53:00,1548554419
41604703,正片,耳机,影音,微软,这是你从未见过的微软_Surface Headphones【值不值得买第306期】,191,16:10,1548381606
41435102,BBT,小龙虾,旅行,,TESTV逮虾户【BB Time第171期】,191,22:03,1548208812
41319173,正片,魔方,玩具,计客,这个魔方它能教你学魔方_计客超级魔方【值不值得买第305期】,191,15:11,1548122425
41199057,其它,,录播,,20190118直播录播,21,222:11:00,1547963441
41036554,BBT,女仆咖啡厅,旅行,,带上OSMO POCKET去拍女仆咖啡厅【BB Time第170期】,21,17:12,1547863202
40969166,正片,,摄影,大疆,这个大疆一点也不大_DJI OSMO POCKET【值不值得买第304期】,190,8:45,1547776853
40829586,BBT,椅子,开箱,,人体工程学椅开箱体验【BB Time第169期】,191,14:45,1547604029
40752618,正片,跑步机,居家,咕咚x小乔,跑步机成精了_咕咚x小乔跑步机【值不值得买第303期】,191,12:06,1547517649
40614787,其它,,录播,,20190111直播录播,21,208:24:00,1547353219
40419540,正片,耳机,影音,Momentum,追求音质的分体式蓝牙耳机_森海塞尔Momentum True Wireless【值不值得买第302期】,191,15:20,1547172021
40245904,BBT,汽车,汽车,法拉利,5000块钱竟能买法拉利？！真香！【BB Time第168期】,191,13:24,1546999201
40189124,正片,电暖器,居家,智米|乐秀|格力,凛冬将至_电暖器体验【值不值得买第301期】,191,11:58,1546912812
40134400,其它,,录播,,20190104直播录播,21,199:34:00,1546835732
39859420,正片,,手机,谷歌,在内地不好用的好手机_Google Pixel3&Pixel 3XL【值不值得买第300期】,95,17:16,1546567209
39769381,BBT,登高,旅行|节日|运动,,2019元旦登高【BB Time第167期】,21,10:33,1546480835
39613344,正片,阅读器,电子纸,掌阅,这张纸竟然要加热_掌阅iReader Smart_《值不值得买》第299期,95,12:16,1546308009
39455691,其它,,录播,,20181228直播录播1,21,190:46:00,1546221641
39251634,BBT,刨猪汤,美食,,BB Time第166期：TESTV的解忧“刨猪汤”,76,9:45,1546221641
39178654,正片,音箱,影音,索尼,《值不值得买》第298期：不想搞灯的音响不是好音响__Sony LSPX-S1晶雅音管,191,17:03,1545962401
39015298,BBT,车机,汽车,苹果|小米,BB Time第165期：汽车加装智能车载系统_CarPlay还是小米？,189,22:39,1545789646
38934401,正片,阅读器,电子纸,Kindle,《值不值得买》第297期：错觉人生_Kindle Paperwhite 4,191,10:18,1545703253
38621752,正片,录音笔,影音,森海塞尔,《值不值得买》第296期：手机拍片录音神器_森海塞尔 Memory Mic,95,13:18,1545357619
38475994,BBT,运动相机,开箱|摄影,大疆,BB Time第164期：OSMO Pocket开箱体验,190,11:24,1545184819
38426232,正片,,手机,努比亚,《值不值得买》第295期：超越全面屏的力量_努比亚X,95,16:33,1545101994
38089560,正片,,手机,多亲,《值不值得买》第294期：不实在的功能机_多亲AI电话,191,9:01,1544752806
37958353,BBT,耳机,开箱,,BB Time第163期：好大一堆分体式蓝牙耳机开箱,191,15:53,1544580040
37871095,正片,拖把|垃圾桶,居家,洒哇地咔|拓牛,《值不值得买》第293期：这拖把竟然能充电_电动拖把和智能垃圾桶,191,13:32,1544493615
37553552,正片,,手机,索尼,《值不值得买》第292期：做有个性的手机_索尼 Xperia XZ3和XZ2P,95,16:49,1544148002
37435014,BBT,手机,开箱,华为,BB Time第162期：华为Mate 20 Pro无线反向充电测试,95,11:56,1543975256
37357850,正片,,平板,苹果,《值不值得买》第291期：2018新iPad Pro真的值得买吗?,95,14:54,1543888805
37012568,正片,,手机,小米,《值不值得买》第290期：这是你从没见过的小米手机_小米MIX3,95,15:54,1543543249
36893242,BBT,马拉松,运动,,BB Time第161期：TESTV参加马拉松赛,21,14:39,1543370420
36822294,正片,VR,游戏,联想,《值不值得买》第289期：我竟然成了星战绝地武士_联想Mirage AR,189,10:48,1543284034
36530774,正片,耳机,影音,Bose,《值不值得买》第288期：Bose noise-masking sleepbuds睡眠耳塞,95,11:58,1542938458
36407794,BBT,手机,日常,苹果,BB Time第160期：氦气真的会破坏新款iPhone设备么？,95,12:21,1542765634
36328693,正片,,手机,华为,《值不值得买》第287期：天冷，浴霸更好用哦__华为Mate 20 Pro,95,15:39,1542679259
36190973,其它,,录播,,TESTV-双11直播录播第11天,21,851:37:00,1542506428
36020786,正片,全景相机,摄影,Insta360,《值不值得买》第286期：全景相机还能这么玩？_Insta360 ONE X,190,14:59,1542333617
35904355,BBT,手机,开箱,小米|努比亚|索尼,BB Time第159期：热门手机开箱_小米MIX3 索尼Xperia XZ3 努比亚X,95,24:10:00,1542160822
35882922,其它,,录播,,TESTV-双11直播录播第10天,21,259:35:00,1542420028
35880672,其它,,录播,,TESTV-双11直播录播第9天,21,137:20:00,1542247220
35866687,正片,手表,穿戴,苹果,《值不值得买》第285期：大天才电话手表_Apple Watch Series 4,191,13:24,1542075730
35704348,其它,,录播,,TESTV-双11直播录播第6天,21,114:55:00,1541901630
35699264,其它,,录播,,TESTV-双11直播录播第8天,21,127:04:00,1541988026
35580275,正片,运动相机,摄影,GoPro,《值不值得买》第284期：和稳定器说再见_GoPro Hero 7 Black,190,14:16,1541728827
35388343,其它,,录播,,TESTV-双11直播录播第5天,21,131:14:00,1541556052
35388281,BBT,手机|手表,开箱,华为|苹果,BB Time第158期：Apple Watch 4与华为Mate20 Pro开箱,95,11:16,1541556052
35380280,正片,,摄影,富士,《值不值得买》第283期：真，腹肌南波湾_富士X-T3,190,13:45,1541469608
35335486,其它,,录播,,TESTV-双11直播录播第4天,21,132:05:00,1541469608
35273930,其它,,录播,,TESTV-双11直播录播第3天,21,129:12:00,1541383224
35216724,其它,,录播,,TESTV-双11直播录播第2天,21,121:51:00,1541296835
35140942,其它,,录播,,TESTV-双11直播录播第1天,21,130:46:00,1541210424
35101586,正片,,手机,苹果,《值不值得买》第282期：想说爱你不容易_iPhone XR,95,17:03,1541125124
35031547,BBT,手机,开箱,苹果,BB Time第157期：黄色iPhone XR开箱,95,8:32,1541037615
34956269,BBT,手机,日常,苹果,BB Time第156期：TESTV高空iPhone XS Max跌落测试,95,14:42,1540951214
34897739,正片,耳机,影音,索尼,《值不值得买》第281期：看什么疗效买就对了_Sony 1000XM3,190,14:54,1540864829
34578515,正片,投影仪,影音,极米,《值不值得买》第280期：窝在家里唱抖音神曲_极米KK投影仪KTV,95,11:54,1540519253
34478492,BBT,钢铁侠反应炉,日常,,BB Time第155期：送你一个钢铁侠方舟反应炉,95,10:08,1540346429
34442510,正片,,手机,苹果,《值不值得买》第279期：十年果粉，一朝劝退-iPhone Xs Max,95,12:43,1540280959
34181053,BBT,烧烤,美食,,BB Time第154期：TESTV烧烤王大比拼,76,20:54,1540000816
34123483,正片,,电脑,微软,《值不值得买》第278期：如何用微软办公生活,189,17:17,1539914404
33917932,正片,耳机,影音,索尼,《值不值得买》第277期：不用来听歌的蓝牙耳机_SONY Xperia Ear Duo,191,16:25,1539655226
33626646,正片,眼镜,穿戴,MAD GAZE,《值不值得买》第276期：超低价格买“Google眼镜”_MAD GAZE X5,191,12:25,1539309656
33459778,正片,,外设,微软|苹果,《值不值得买》第275期：微软和苹果的键鼠——人体工学键盘套件和妙控三件套,95,12:56,1539051635
33073866,正片,,电脑,微软,《值不值得买》第274期：这么便宜的Surface值得买吗？_Surface Go,189,14:11,1538704852
32964250,BBT,重庆,旅行,,BB Time第153期：三傻租车游重庆,21,17:31,1538618416
32958822,BBT,,节日,,BB Time第152期：欢度国庆,21,9:36,1538532036
32883001,正片,音箱,影音,布鲁斯|海顿,《值不值得买》第273期：承包你的复古style—山进布鲁斯&海顿收音机,191,14:18,1538445657
32583255,正片,锅|烧水壶,居家,,《值不值得买》第272期：这是吃重庆火锅的神器？_折叠水壶和锅,95,13:01,1538100020
32533645,BBT,,旅行,谷歌,BB Time第151期：谷歌的马卡龙真好吃,189,10:36,1538013627
32423156,正片,药盒,居家,MEMO,《值不值得买》第271期：吃药是不可能的_MEMO智能药盒,191,7:29,1537840826
32177954,BBT,手机,日常,苹果,BB Time第150期：我把iPhone Xs Max砸了,95,8:41,1537581623
32095198,正片,,手机,魅族,《值不值得买》第270期：我的性价比比你高_魅族16th 下,95,12:37,1537495204
31978396,BBT,相机,摄影,索尼,BB Time第149期：黑卡6到底是不是vlog强机？,190,18:18,1537322457
31951028,正片,眼部按摩仪,日用,,《值不值得买》第269期：眼部按摩仪_护眼宝,95,11:14,1537236005
31654084,正片,,摄影,索尼,《值不值得买》第268期：新人UP主买这个就好啦_Sony黑卡6,190,14:02,1536890409
31555327,BBT,露营,旅行,,BB Time第148期：新手露营野外过夜必带装备（菜鸟版）,21,19:25,1536717657
31493853,正片,,手机,小米,《值不值得买》第267期：我的性价比比你高_小米8 上,95,13:11,1536631220
31287634,正片,,电脑,苹果,《值不值得买》第266期：Apple三件套体验_苹果全家桶,95,15:30,1536334875
31087321,BBT,手机|音箱,开箱,魅族|Gravity,BB Time第147期：魅族 16th手机与Gravity悬浮音响,95,12:48,1536112806
31054628,正片,车载冰箱,汽车,英得尔,《值不值得买》第265期：让你走出办公室的车载冰箱——英得尔T20车载冰箱,95,13:45,1536026426
30730991,正片,平衡车,户外,Segway,《值不值得买》第264期：这是你从没见过的“鞋子”_Segway平衡轮-B站,95,11:33,1535680824
30666275,BBT,车载冰箱,旅行,,BB Time第146期：带上车载冰箱去野外煮重庆火锅,21,19:44,1535594435
30496592,正片,耳机,影音,QCY|先锋|魅族,《值不值得买》第263期：比AirPods便宜还好用？__QCY T1、先锋、魅族POP蓝牙分体耳机,95,17:14,1535421623
30134858,正片,搅拌杯|榨汁杯,居家,九阳|SKG,《值不值得买》第262期：便宜好用的搅拌杯_九阳L3-C1和SKG迷你榨汁杯,95,16:36,1535076006
30048070,BBT,手机,日常,Vivo,BB Time第145期：vivo NEX摄像头弹出5万次后将会发生什么？,95,9:29,1534989618
29983904,BBT,,幕后,,BB Time第144期：配音间大改造,21,15:15,1534903220
